epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,1759.96,1.27299,0.76515,0.88053,0.86486,0.73408,0.79322,0.59552,1.27546,0.73358,0.89618,9.90192e-05,9.90192e-05,9.90192e-05
170,1769.9,1.27707,0.77206,0.88035,0.8532,0.73401,0.79323,0.59672,1.27874,0.74128,0.89582,9.61086e-05,9.61086e-05,9.61086e-05
171,1780.24,1.28852,0.77812,0.88308,0.85313,0.74483,0.79616,0.60228,1.26804,0.73919,0.89454,9.3198e-05,9.3198e-05,9.3198e-05
172,1790.66,1.29116,0.78166,0.88021,0.85495,0.74155,0.79502,0.59951,1.27917,0.74333,0.89662,9.02874e-05,9.02874e-05,9.02874e-05
173,1800.87,1.25889,0.76241,0.87657,0.86594,0.73039,0.79608,0.59578,1.27655,0.73393,0.89644,8.73768e-05,8.73768e-05,8.73768e-05
174,1810.86,1.26227,0.77012,0.88146,0.86067,0.72983,0.79588,0.59856,1.27334,0.73568,0.8955,8.44662e-05,8.44662e-05,8.44662e-05
175,1820.91,1.2744,0.76745,0.8782,0.85558,0.73252,0.79587,0.59846,1.26757,0.73426,0.89477,8.15556e-05,8.15556e-05,8.15556e-05
176,1831.38,1.25485,0.75529,0.87563,0.85663,0.74407,0.79991,0.59636,1.27446,0.73279,0.8961,7.8645e-05,7.8645e-05,7.8645e-05
177,1841.35,1.28254,0.76803,0.88275,0.85629,0.73836,0.79804,0.59743,1.27056,0.73156,0.89467,7.57344e-05,7.57344e-05,7.57344e-05
178,1851.25,1.25775,0.76038,0.87873,0.84547,0.73749,0.79549,0.60359,1.25901,0.72566,0.89351,7.28238e-05,7.28238e-05,7.28238e-05
179,1861.41,1.27622,0.76136,0.87759,0.84947,0.73403,0.79494,0.5993,1.26246,0.72595,0.89419,6.99132e-05,6.99132e-05,6.99132e-05
